"education_summary_put_code","education_summary_department_name","education_summary_role_title","education_summary_url","education_summary_external_ids","education_summary_display_index","education_summary_visibility","education_summary_path","education_summary_created_date_value","education_summary_last_modified_date_value","education_summary_source_source_client_id","education_summary_source_assertion_origin_orcid","education_summary_source_assertion_origin_client_id","education_summary_source_assertion_origin_name","education_summary_source_source_orcid_uri","education_summary_source_source_orcid_path","education_summary_source_source_orcid_host","education_summary_source_source_name_value","education_summary_start_date_day","education_summary_start_date_year_value","education_summary_start_date_month_value","education_summary_end_date_day","education_summary_end_date_year_value","education_summary_end_date_month_value","education_summary_organization_name","education_summary_organization_address_city","education_summary_organization_address_region","education_summary_organization_address_country","education_summary_organization_disambiguated_organization_disambiguated_organization_identifier","education_summary_organization_disambiguated_organization_disambiguation_source","education_summary_organization_disambiguated_organization","education_summary_start_date_day_value","education_summary_end_date_day_value","education_summary_start_date_month","education_summary_end_date_month","education_summary_start_date","education_summary_end_date","education_summary_url_value","ORCID"
1150292,"Psychology","PhD",NA,NA,"1","public","/0000-0001-7168-7047/education/1150292",2015-09-04,2020-02-06,NA,NA,NA,NA,"https://orcid.org/0000-0001-7168-7047","0000-0001-7168-7047","orcid.org","Colin Capaldi",NA,"2014",NA,NA,"2020",NA,"Carleton University","Ottawa","ON","CA","6339","RINGGOLD",NA,NA,NA,NA,NA,NA,NA,NA,"0000-0001-7168-7047"
270872,"Psychology","Master of Arts",NA,NA,"1","public","/0000-0001-7168-7047/education/270872",2014-05-19,2020-02-06,NA,NA,NA,NA,"https://orcid.org/0000-0001-7168-7047","0000-0001-7168-7047","orcid.org","Colin Capaldi",NA,"2012",NA,NA,"2014",NA,"Carleton University","Ottawa","ON","CA","6339","RINGGOLD",NA,NA,NA,NA,NA,NA,NA,NA,"0000-0001-7168-7047"
270870,"Psychology","Bachelor of Arts, Highest Honours",NA,NA,"1","public","/0000-0001-7168-7047/education/270870",2014-05-19,2020-02-06,NA,NA,NA,NA,"https://orcid.org/0000-0001-7168-7047","0000-0001-7168-7047","orcid.org","Colin Capaldi",NA,"2007",NA,NA,"2012",NA,"Carleton University","Ottawa","ON","CA","6339","RINGGOLD",NA,NA,NA,NA,NA,NA,NA,NA,"0000-0001-7168-7047"
15226165,"Department of Psychology","PhD",NA,NA,"1","public","/0000-0002-4005-7090/education/15226165",2021-07-05,2021-07-05,NA,NA,NA,NA,"https://orcid.org/0000-0002-4005-7090","0000-0002-4005-7090","orcid.org","Janos Salamon",NA,"2016",NA,NA,NA,NA,"Eötvös Loránd University","Budapest",NA,"HU","grid.5591.8","GRID",NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-4005-7090"
15226147,"Department of Ergonomics and Psychology","MA",NA,NA,"1","public","/0000-0002-4005-7090/education/15226147",2021-07-05,2021-07-05,NA,NA,NA,NA,"https://orcid.org/0000-0002-4005-7090","0000-0002-4005-7090","orcid.org","Janos Salamon",NA,"2010",NA,NA,"2012",NA,"Budapest University of Technology and Economics","Budapest",NA,"HU","grid.6759.d","GRID",NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-4005-7090"
9668862,"Computer Science and Engineering","PhD",NA,NA,"1","public","/0000-0002-0118-1021/education/9668862",2020-01-29,2021-11-03,NA,NA,NA,NA,"https://orcid.org/0000-0002-0118-1021","0000-0002-0118-1021","orcid.org","Kun Jin",NA,"2016","08",NA,"2021","08","Ohio State University","Columbus","OH","US","2647","RINGGOLD",NA,"23","23",NA,NA,NA,NA,NA,"0000-0002-0118-1021"
9668856,"Software Engineering","MSE",NA,NA,"1","public","/0000-0002-0118-1021/education/9668856",2020-01-29,2021-11-03,NA,NA,NA,NA,"https://orcid.org/0000-0002-0118-1021","0000-0002-0118-1021","orcid.org","Kun Jin",NA,"2013","09",NA,"2016","07","Tsinghua University","Beijing","Beijing","CN","grid.12527.33","GRID",NA,"01","02",NA,NA,NA,NA,NA,"0000-0002-0118-1021"
2735284,"School of Informatics and Computing","PhD in Informatics, Complex Systems Track",NA,NA,"0","public","/0000-0002-3994-6106/education/2735284",2016-12-07,2017-06-02,NA,NA,NA,NA,"https://orcid.org/0000-0002-3994-6106","0000-0002-3994-6106","orcid.org","Onur Varol",NA,"2012","08",NA,"2017","06","Indiana University Bloomington","Bloomington","IN","US","1771","RINGGOLD",NA,NA,"30",NA,NA,NA,NA,NA,"0000-0002-3994-6106"
2735292,"Computer Science","MSc. Computer Science and Engineering",NA,NA,"0","public","/0000-0002-3994-6106/education/2735292",2016-12-07,2019-12-10,NA,NA,NA,NA,"https://orcid.org/0000-0002-3994-6106","0000-0002-3994-6106","orcid.org","Onur Varol",NA,"2010","08",NA,"2012","08","Koç Üniversitesi","Istanbul",NA,"TR","52979","RINGGOLD",NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-3994-6106"
4018022,"Physics ","Physics Enginnering",NA,NA,"0","public","/0000-0002-3994-6106/education/4018022",2017-06-07,2017-06-07,NA,NA,NA,NA,"https://orcid.org/0000-0002-3994-6106","0000-0002-3994-6106","orcid.org","Onur Varol",NA,"2008","08",NA,"2012","06","Istanbul Technical University","Istanbul",NA,"TR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-3994-6106"
4018013,"Electrical and Electronics Engineering","Electronics Enginnering",NA,NA,"0","public","/0000-0002-3994-6106/education/4018013",2017-06-07,2017-06-07,NA,NA,NA,NA,"https://orcid.org/0000-0002-3994-6106","0000-0002-3994-6106","orcid.org","Onur Varol",NA,"2007","02",NA,"2010","06","Istanbul Technical University","Istanbul",NA,"TR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-3994-6106"
3339410,"Sociology","PhD",NA,NA,"0","public","/0000-0003-3806-9161/education/3339410",2017-03-03,2017-03-03,NA,NA,NA,NA,"https://orcid.org/0000-0003-3806-9161","0000-0003-3806-9161","orcid.org","Karen Levy",NA,"2008",NA,NA,"2014",NA,"Princeton University","Princeton","NJ","US","6740","RINGGOLD",NA,NA,NA,NA,NA,NA,NA,NA,"0000-0003-3806-9161"
